unidade;mes;ano;grau;escore;predicao_obito;saidas_rn;obitos_ocorridos;obitos_esperados
MOV;novembro;2018;IV;> 15;100;0;0;0
MOV;dezembro;2018;I;0 a 5;9,3;2;0;0
MOV;dezembro;2018;II;6 a 10;55,9;3;0;0
MOV;dezembro;2018;III;11 a 5 ;73,1;1;1;0
MOV;dezembro;2018;IV;> 15;100;1;1;0
HRJP;janeiro;2018;I;0 a 5;9,3;1;0;0,09
HRJP;janeiro;2018;II;6 a 10;55,9;2;0;0,56
HRJP;janeiro;2018;III;11 a 5 ;73,1;2;2;0,73
HRJP;janeiro;2018;IV;> 15;100;0;0;0
HRJP;fevereiro;2018;I;0 a 5;9,3;2;0;0
HRJP;fevereiro;2018;II;6 a 10;55,9;2;0;0,56
HRJP;fevereiro;2018;III;11 a 5 ;73,1;1;1;0
HRJP;fevereiro;2018;IV;> 15;100;0;0;2
HRJP;março;2018;I;0 a 5;9,3;1;0;0
HRJP;março;2018;II;6 a 10;55,9;0;0;0,56
HRJP;março;2018;III;11 a 5 ;73,1;0;0;0,73
HRJP;março;2018;IV;> 15;100;0;0;0
HRJP;abril;2018;I;0 a 5;9,3;0;0;0,28
HRJP;abril;2018;II;6 a 10;55,9;4;0;0
HRJP;abril;2018;III;11 a 5 ;73,1;2;1;0
HRJP;abril;2018;IV;> 15;100;0;0;0
HRJP;maio;2018;I;0 a 5;9,3;3;0;0,28
HRJP;maio;2018;II;6 a 10;55,9;1;0;0,56
HRJP;maio;2018;III;11 a 5 ;73,1;2;1;0,73
HRJP;maio;2018;IV;> 15;100;1;1;0
HRJP;junho;2018;I;0 a 5;9,3;0;0;0,09
HRJP;junho;2018;II;6 a 10;55,9;1;0;1,68
HRJP;junho;2018;III;11 a 5 ;73,1;0;0;0
HRJP;junho;2018;IV;> 15;100;1;1;0
HRJP;julho;2018;I;0 a 5;9,3;3;0;0,19
HRJP;julho;2018;II;6 a 10;55,9;0;0;0,56
HRJP;julho;2018;III;11 a 5 ;73,1;4;3;0
HRJP;julho;2018;IV;> 15;100;0;0;1
HRJP;agosto;2018;I;0 a 5;9,3;1;0;0,09
HRJP;agosto;2018;II;6 a 10;55,9;0;0;1,68
HRJP;agosto;2018;III;11 a 5 ;73,1;1;1;0,73
HRJP;agosto;2018;IV;> 15;100;0;0;0
HRJP;setembro;2018;I;0 a 5;9,3;1;0;0,09
HRJP;setembro;2018;II;6 a 10;55,9;0;0;0
HRJP;setembro;2018;III;11 a 5 ;73,1;2;0;0
HRJP;setembro;2018;IV;> 15;100;1;1;0
HRJP;outubro;2018;I;0 a 5;9,3;1;0;0,09
HRJP;outubro;2018;II;6 a 10;55,9;4;1;0
HRJP;outubro;2018;III;11 a 5 ;73,1;0;0;0
HRJP;outubro;2018;IV;> 15;100;1;1;0
HRJP;novembro;2018;I;0 a 5;9,3;3;0;0,28
HRJP;novembro;2018;II;6 a 10;55,9;1;0;0,56
HRJP;novembro;2018;III;11 a 5 ;73,1;1;0;0,73
HRJP;novembro;2018;IV;> 15;100;1;1;1
HRJP;dezembro;2018;I;0 a 5;9,3;2;0;0,19
HRJP;dezembro;2018;II;6 a 10;55,9;2;0;1,12
HRJP;dezembro;2018;III;11 a 5 ;73,1;0;0;0
HRJP;dezembro;2018;IV;> 15;100;0;0;0
