processo_ano;denominacao;denominacao_completa;categoria;classe_subclasse;municipio;distrito;ato_legal;livro_de_tombo
PTE101/1997;Centro histórico de São José das Três Ilhas e Igreja Matriz de São José;Centro Histórico de São José das Três Ilhas e Igreja Matriz de São José;CH;"Conjunto urbano; templo; acervo";Belmiro Braga;Três Ilhas;Homologação SEC de 29 de setembro de 1997;I, II, III, IV
PTE102/1998;Fazenda Fonte Limpa;Fazenda Fonte Limpa;BI;Conjunto rural;Santana dos Montes;Santana dos Montes;Homologação SEC de 30 de julho de 1998;I, II, III
PTE103/1998;Conjunto arquitetônico e paisagístico de Biribiri;Conjunto arquitetônico e paisagístico de Biribiri;CP;"Conjunto urbano; indústria";Diamantina;Sopa;Homologação SEC de 11 de novembro de 1998;I, II, III
PTE104/1998;Igreja Matriz de Santo Antônio;Igreja Matriz de Santo Antônio;BI;"Edificação; templo; acervo";Itacambira;Itacambira;Homologação SEC de 30 de julho de 1998;II, III, IV
PTE105/1998;Fazenda de São José do Manso;Fazenda de São José do Manso;BI;"Conjunto rural; ruína";Ouro Preto;Ouro Preto;Homologação SEC de 22 de setembro de 1998;I, II, III
PTE108/1999;Conjunto arquitetônico e paisagístico do Parque das Águas;Conjunto arquitetônico e paisagístico do Parque das Águas de Caxambu;CP;Conjunto arquitetônico;Caxambu;Caxambu;Homologação SEC de 10 de fevereiro de 1999;I, II, III, IV
PTE110/1999;Conjunto paisagístico das cachoeiras do Tombo da Fumaça;Conjunto paisagístico das cachoeiras do Tombo da Fumaça;CP;Patrimônio Natural;Salto da Divisa;Salto da Divisa;Tombamento aprovado em 11 de agosto de 1999 e inscrição referendada pela nota jurídica 2554/2010 da AGE;I, III
PTE111/2000;Fazenda Carreiras;Fazenda Carreiras;BI;Conjunto rural;Ouro Branco;Ouro Branco;Homologação SEC de 15 de setembro de 2000;II, III
PTE112/2000;Cine Rio Branco;Cine Rio Branco;BI;"Estrutura ou equipamento urbano; cinema";Varginha;Varginha;Homologação SEC de 15 de setembro de 2000;II, III, IV
PTE113/1989;Pico do Ibituruna;Pico do Ibituruna;CP;Patrimônio Natural;Governador Valadares;Governador Valadares;Constituição Estadual de 1989 - ADCT art. 84;0
PTE114/1989;Pico do Itambé;Pico do Itambé;CP;Patrimônio Natural;"Santo Antônio do Itambé;Serra Azul de Minas;Serro";"Santo Antônio do Itambé;Serra Azul de Minas;Serro";Constituição Estadual de 1989 - ADCT art. 84;0
PTE115/1989;Complexo arquitetônico e paisagístico da Serra do Caraça;Complexo arquitetônico e paisagístico da Serra do Caraça;CP;Patrimônio Natural;"Catas Altas; Santa Bárbara";"Catas Altas; Brumal";Constituição Estadual de 1989 - ADCT art. 84;0
PTE116/1989;Conjunto paisagístico da Serra da Piedade;Conjunto paisagístico da Serra da Piedade;CP;"Patrimônio Natural; templo";"Caeté; Sabará; Santa Luzia";"Caeté, Penedia, Roças Novas; Sabará, Ravena, Mestre Caetano; Santa Luzia";Constituição Estadual de 1989 - ADCT art. 84;I, II, III
PTE117/1989;Serra do Ibitipoca;Serra do Ibitipoca;CP;Patrimônio Natural;"Lima Duarte; Santa Rita do Ibitipoca";"Conceição da Ibitipoca; Santa Rita do Ibitipoca; Bom Jesus do Vermelho";Constituição Estadual de 1989 - ADCT art. 84;0
PTE118/1989;Serra do Cabral;Serra do Cabral;CP;Patrimônio Natural;Augusto de Lima, Buenópolis, Francisco Dumont, Joaquim Felício, Lassance e Várzea da Palma;Augusto de Lima, Buenópolis, Francisco Dumont, Joaquim Felício, Lassance e Várzea da Palma;Constituição Estadual de 1989 - ADCT art. 84;0
PTE119/1989;Serra de São Domingos;Serra de São Domingos;CP;Patrimônio Natural;Poços de Caldas;Poços de Caldas;Constituição Estadual de 1989 - ADCT art. 84;I
PTE120/1989;Bacia hidrográfica do Rio Jequitinhonha;Bacia hidrográfica do Rio Jequitinhonha;CP;Patrimônio Natural;Diversos (62 municípios);0;Constituição Estadual de 1989 - ADCT art. 84;0
PTE121/1998;Centro histórico de Santa Luzia;Centro histórico de Santa Luzia;CH;"Conjunto urbano; templo";Santa Luzia;Santa Luzia;Homologação SEC de 28 de dezembro de 1998;I, II, III
PTE122/2000;Capela de Nossa Senhora da Saúde;Capela de Nossa Senhora da Saúde;BI;"Edificação; templo";Chapada do Norte;Chapada do Norte;Tombamento aprovado em 12 de dezembro de 2000 e inscrição referendada pela nota jurídica 2554/2010 da AGE;II, III
PTE123/2001;Sobrado do inconfidente Domingos de Abreu Vieira;Sobrado do inconfidente Domingos de Abreu Vieira;BI;Edificação;Berilo;Berilo;Tombamento aprovado em 6 de novembro de 2001 e inscrição referendada pela nota jurídica 2554/2010 da AGE;II, III, IV
PTE124/2001;Núcleo histórico de Córregos;Núcleo histórico do distrito de Córregos;CH;"Conjunto urbano; acervo";Conceição do Mato Dentro;Córregos;Tombamento aprovado em 6 de novembro de 2001 e inscrição  referendada pela nota jurídica 2554/2010 da AGE;I, II, III, IV
PTE125/2002;Museu Casa Guimarães Rosa;Museu Casa Guimarães Rosa;BI;Edificação e acervo;Cordisburgo;Cordisburgo;Tombamento aprovado em 14 de agosto de 2002 e inscrição referendada pela nota jurídica 2554/2010 da AGE;II, III
PTE126/2002;Cassino de Lambari;Cassino de Lambari;BI;"Conjunto arquitetônico; acervo";Lambari;Lambari;Tombamento aprovado em 14 de agosto de 2002 e inscrição referendada pela nota jurídica 2554/2010 da AGE;I, II, III, IV
