processo_ano;denominacao;denominacao_completa;categoria;classe_subclasse;municipio;distrito;ato_legal;livro_de_tombo
PTE023/1980;Capela de Nossa Senhora do Rosário;Capela de Nossa Senhora do Rosário;BI;"Edificação e acervo; templo";Chapada do Norte;Chapada do Norte;Decreto 20689, de 23 de julho de 1980;II
PTE024/1981;Capela do Senhor Bom Jesus da Lapa;Capela do Senhor Bom Jesus da Lapa;BI;"Edificação e acervo; templo";Chapada do Norte;Chapada do Norte;Decreto 21217, de 20 de fevereiro de 1981;II
PTE025/1985;Capela do Senhor dos Passos;Capela do Senhor dos Passos;BI;"Edificação; templo";Conceição do Mato Dentro;Córregos;Decreto 24329, de 22 de março de 1985;II
PTE026/1985;Igreja Matriz de Nossa Senhora Aparecida;Igreja Matriz de Nossa Senhora Aparecida;BI;"Edificação e acervo; templo";Conceição do Mato Dentro;Córregos;Decreto 24323, de 22 de março de 1985;II
PTE027/1985;Igreja de Santo Antônio;Igreja de Santo Antônio;BI;"Edificação e acervo; templo";Conceição do Mato Dentro;Santo Antônio do Norte;Decreto 24330, de 22 de março de 1985;I, II, III
PTE028/1981;Romarias;Romarias;CP;Edificação;Congonhas;Congonhas;Decreto 21178, de 8 de janeiro de 1981;I
PTE029/1978;Capela de Nossa Senhora da Soledade;Capela de Nossa Senhora da Soledade;BI;"Edificação; templo";Congonhas;Lobo Leite;Decreto 19113, de 28 de março de 1978;II
PTE030/1985;Igreja Matriz de Sant'Ana;Igreja Matriz de Sant'Ana;BI;"Edificação e acervo; templo";Congonhas do Norte;Congonhas do Norte;Decreto 24325, de 22 de março de 1985;II, III
PTE031/1977;Capela de Nossa Senhora da Conceição;Capela de Nossa Senhora da Conceição;BI;"Edificação e acervo; templo";Couto de Magalhães de Minas;Couto de Magalhães de Minas;Decreto 18531, de 2 de junho de 1977;II
PTE032/1977;Igreja do Senhor Bom Jesus de Matozinhos;Igreja do Senhor Bom Jesus de Matozinhos;BI;"Edificação e acervo; templo";Couto de Magalhães de Minas;Couto de Magalhães de Minas;Decreto 18531, de 2 de junho de 1977;II
PTE033/1977;Fazenda dos Macacos;Fazenda dos Macacos;BI;Conjunto rural;Conselheiro Lafaiete;Buarque de Macedo;Decreto 18531, de 2 de junho de 1977;III
PTE034/1979;Igreja do Santíssimo Sacramento;Igreja do Santíssimo Sacramento;BI;"Edificação e acervo; templo";Jequitibá;Jequitibá;Decreto 19872, de 20 de março de 1979;II, III
PTE035/1985;Ruínas da Igreja do Bom Jesus de Matozinhos;Ruínas da Igreja do Bom Jesus de Matozinhos;BI;"Edificação; templo; ruína";Várzea da Palma;Guaicuí;Decreto 24324, de 22 de março de 1985;II
PTE037/1978;Fórum de Oliveira;Fórum de Oliveira;BI;Edificação;Oliveira;Oliveira;Decreto 19112, de 28 de março de 1978;III
PTE038/1978;Serra do Ouro Branco;Serra do Ouro Branco;CP;Patrimônio Natural;Ouro Branco;Ouro Branco;Decreto 19530, de 7 de novembro de 1978;I
PTE039/1976;Conjunto histórico da Capela de Nossa Senhora do Rosário e Quinta do Sumidouro;Conjunto histórico da Capela de Nossa Senhora do Rosário e Quinta do Sumidouro;CP;"Conjunto arquitetônico; templo";Pedro Leopoldo;Fidalgo;Decreto 17729 de 27 de janeiro de 1976;II, III
PTE040/1978;Capela de Nossa Senhora do Rosário;Capela de Nossa Senhora do Rosário e Capela de Santa Efigênia;BI;"Edificação e acervo; templo";Sabará;Mestre Caetano;Decreto 19463, de 16 de outubro de 1978;II
PTE040/1978;Capela de Santa Efigênia;Capela de Nossa Senhora do Rosário e Capela de Santa Efigênia;BI;"Edificação; templo";Sabará;Mestre Caetano;Decreto 19463, de 16 de outubro de 1978;II
PTE041/1977;Conjunto arquitetônico e paisagístico da Igreja de Nossa Senhora da Lapa;Conjunto arquitetônico e paisagístico da Igreja de Nossa Senhora da Lapa;CP;"Edificação; templo";Sabará;Ravena;Decreto 18531, de 2 de junho de 1977;I, II
PTE042/1978;Capela de Nossa Senhora da Ajuda;Capela de Nossa Senhora da Ajuda;BI;"Edificação; templo";Congonhas;Alto Maranhão;Decreto 19114, de 28 de março de 1978;II
PTE043/1976;Basílica de Santa Luzia do Rio das Velhas;Basílica de Santa Luzia do Rio das Velhas;BI;"Edificação; templo";Santa Luzia;Santa Luzia;Decreto 17779, de 9 de março de 1976;II
PTE044/1977;Casa da Rua Direita, nº 101;Casa da Rua Direita, nº 101;BI;Edificação;Santa Luzia;Santa Luzia;Decreto 18531, de 2 de junho de 1977;III
PTE045/1978;Mosteiro de Macaúbas;Mosteiro de Macaúbas;BI;"Conjunto arquitetônico; templo; acervo";Santa Luzia;Santa Luzia;Decreto 19347, de 22 de agosto de 1978;I, II, III
PTE046/1975;Conjunto arquitetônico e paisagístico da Fazenda da Posse;Conjunto arquitetônico e paisagístico da Fazenda da Posse;CP;Conjunto rural;Santana dos Montes;Santana dos Montes;Decreto 16965, de 30 de janeiro de 1975;II
PTE047/1978;Parque Cabangu;Parque Cabangu;CP;"Conjunto arquitetônico; acervo";Santos Dumont;Mantiqueira;Decreto 19482, de 24 de outubro de 1978;I, III
PTE049/1977;Lagoa e Lapa do Sumidouro;Lagoa e Lapa do Sumidouro;CP;Sítio arqueológico;"Lagoa Santa; Pedro Leopoldo";"Lapinha; Fidalgo";Decreto 18531, de 2 de junho de 1977;I
PTE050/1977;Monumento Comemorativo do Centenário da Independência Nacional;Monumento comemorativo do Centenário da Independência Nacional;BI;"Estrutura ou equipamento urbano; monumento";Belo Horizonte;Belo Horizonte;Decreto 18531, de 2 de junho de 1977;III
PTE051/1985;Vapor Benjamin Guimarães;Vapor Benjamin Guimarães;BM;"Bem móvel ou integrado; embarcação";Pirapora;Pirapora;Decreto 24840 de 1° de agosto de 1985;I
PTE053/1980;Igreja Matriz de Nossa Senhora dos Prazeres;Igreja Matriz de Nossa Senhora dos Prazeres;BI;"Edificação; templo";Serro;Milho Verde;Decreto 20581, de 26 de maio de 1980;II
PTE054/1980;Igreja Matriz de São Gonçalo;Igreja Matriz de São Gonçalo;BI;"Edificação; templo";Serro;Sao Gonçalo do Rio das Pedras;Decreto 20581, de 26 de maio de 1980;I, II
PTE055/1989;Centro histórico de Santa Bárbara;Centro histórico de Santa Bárbara (incluíndo a Igreja de Nossa Senhora do Rosário, a Capela da Arquiconfraria do Cordão de São Francisco, a Capela do Bonfim, a Igreja de Nossa Senhora das Merces, as Ruínas do Hospital Velho e a Casa natal de Afonso Pena);CH;"Conjunto urbano; templo; ferrovia";Santa Bárbara;Santa Bárbara;Decreto 29399, de 21 de abril de 1989;I, II, III, IV
PTE056/1989;Centro histórico de Catas Altas;Centro histórico de Catas Altas;CH;"Conjunto urbano; templo";Catas Altas;Catas Altas;Decreto 29399, de 21 de abril de 1989;I, II
PTE057/1989;Centro histórico de Brumal;Centro histórico do distrito de Brumal;CH;"Conjunto urbano; templo";Santa Bárbara;Brumal;Decreto 29399, de 21 de abril de 1989;I, II
PTE058/1984;Igreja de Nossa Senhora do Rosário;Igreja de Nossa Senhora do Rosário;BI;"Edificação; templo";Sacramento;Desemboque;Decreto 23810, de 14 de agosto de 1984;III
PTE058/1984;Igreja Matriz de Nossa Senhora do Desterro;Matriz de Nossa Senhora do Desterro;BI;"Edificação; templo";Sacramento;Desemboque;Decreto 23810, de 14 de agosto de 1984;III
PTE059/1985;Ponte Marechal Hermes;Ponte Marechal Hermes;BI;"Estrutura ou equipamento urbano; ferrovia";"Pirapora; Buritizeiro";"Pirapora; Buritizeiro";Decreto 24327, de 22 de março de 1985;II
PTE060/1980;Igreja Matriz de São Francisco de Assis;Igreja Matriz de São Francisco de Assis;BI;"Edificação e acervo; templo";Minas Novas;Minas Novas;Decreto 20557, de 13 de maio de 1980;II
PTE061/1980;Capela de São Gonçalo;Capela de São Gonçalo;BI;"Edificação e acervo; templo";Minas Novas;Minas Novas;Decreto 20557, de 13 de maio de 1980;III
PTE062/1996;Conjunto arquitetônico e paisagístico da Fazenda da Jaguara;Conjunto arquitetônico e paisagístico da Fazenda da Jaguara;CP;"Conjunto rural; templo";Matozinhos;Matozinhos;Homologação SEC de 12 de janeiro de 1996;I, III
PTE063/1977;Igreja Matriz de Santo Antônio;Igreja Matriz de Santo Antônio;BI;"Edificação; templo";Mateus Leme;Mateus Leme;Decreto 18531, de 2 de junho de 1977;I, II
PTE064/1996;Centro histórico de Santa Rita Durão;Centro histórico do distrito de Santa Rita Durão;CH;"Conjunto urbano; templo";Mariana;Santa Rita Durao;Homologação SEC de 12 de janeiro de 1996;I, III
PTE066/1985;Igreja Matriz de São Francisco de Assis;Igreja Matriz de São Francisco de Assis;BI;"Edificação e acervo; templo";Conceição do Mato Dentro;Costa Sena;Decreto 24326, de 22 de março de 1985;II, III
PTE067/1980;Igreja Matriz de Santa Cruz;Igreja Matriz de Santa Cruz;BI;"Edificação e acervo; templo";Chapada do Norte;Chapada do Norte;Decreto 20689, de 23 de julho de 1980;II
PTE068/1982;Prédio do Instituto de Educação de Minas Gerais;Prédio do Instituto de Educação de Minas Gerais;BI;"Edificação; escola";Belo Horizonte;Belo Horizonte;Decreto 21969, de 15 de fevereiro de 1982;II, III
PTE069/1988;Prédio do antigo Banco Hipotecário e Agrícola;Prédio sede do Banco do Estado de Minas Gerais (antigo Banco Hipotecário e Agrícola);BI;Edificação;Belo Horizonte;Belo Horizonte;Decreto 27927, de 15 de março de 1988;II
PTE070/1982;Prédio da Escola Estadual Pedro II;Prédio da Escola Estadual Pedro II;BI;"Edificação e acervo; escola";Belo Horizonte;Belo Horizonte;Decreto 21970, de 15 de fevereiro de 1982;II, III
PTE071/1988;Praça Raul Soares;Praça Raul Soares;CP;Jardim histórico;Belo Horizonte;Belo Horizonte;Decreto 27927, de 15 de março de 1988;I
PTE072/1984;Praça Hugo Werneck;Conjunto da Praça Hugo Werneck, prédios da Maternidade Hilda Brandão e do Hospital Borges da Costa;CP;Jardim histórico;Belo Horizonte;Belo Horizonte;Decreto 23809, de 14 de agosto de 1984;I, II, III
PTE072/1984;Prédio da Maternidade Hilda Brandão;Conjunto da Praça Hugo Werneck, prédios da Maternidade Hilda Brandão e do Hospital Borges da Costa;BI;"Edificação; estrutura ou equipamento urbano; hospital";Belo Horizonte;Belo Horizonte;Decreto 23809, de 14 de agosto de 1984;I, II, III
PTE072/1984;Prédio do Hospital Borges da Costa;Conjunto da Praça Hugo Werneck, prédios da Maternidade Hilda Brandão e do Hospital Borges da Costa;BI;"Edificação; estrutura ou equipamento urbano; hospital";Belo Horizonte;Belo Horizonte;Decreto 23809, de 14 de agosto de 1984;I, II, III
PTE073/1984;Praça Floriano Peixoto e prédio do Quartel do 1º Batalhão da PMMG;Praça Floriano Peixoto e prédio do Quartel do 1º Batalhão da PMMG;CP;"Jardim histórico; edificação; militar";Belo Horizonte;Belo Horizonte;Decreto 23808, de 14 de agosto de 1984;I, II, III
